scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,market_sentiment,crypto_influence,stock_downfall_rate,stock_increase_rate,factors_affecting,investor_count,expected_profit
Bank of India Tax Advantage Fund,500,500,1.31,676,10,Alok Singh,2.88,3.48,16.3,0.89,1.5,6,Bank of India Mutual Fund,4,Equity,ELSS Mutual Funds,0.9,29,13.2,Positive,Medium,0.09,11.7,Global Events,94459,9.07
Bank of India Ultra Short Duration Fund,1000,5000,0.36,118,10,Mithraem Bharucha,2.16,2.06,0.52,1.12,1.07,3,Bank of India Mutual Fund,2,Debt,Ultra Short Duration Funds,5.2,4.7,5.7,Negative,High,8.19,0.11,Market Trends,76403,18.56
Baroda BNP Paribas Aggressive Hybrid Fund,300,5000,0.61,772,6,Jitendra Sriram,2.79,1.88,11.77,0.79,1.39,6,Baroda BNP Paribas Mutual Fund,5,Hybrid,Aggressive Hybrid Mutual Funds,3.5,20.6,13.3,Negative,High,1.28,0.86,Inflation,42258,10.62
Baroda BNP Paribas Arbitrage Fund,300,5000,0.49,354,6,Neeraj Saxena,0.99,1.39,0.71,0.59,0.85,1,Baroda BNP Paribas Mutual Fund,3,Hybrid,Arbitrage Mutual Funds,5.2,4.6,5.6,Negative,Low,2.83,3.38,Government Policies,34724,13.25
Baroda BNP Paribas Balanced Advantage Fund,500,5000,0.64,3123,4,Sanjay Chawla,3.41,2.61,10.57,0.7,1.46,6,Baroda BNP Paribas Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.7,19.8,,Positive,High,0.18,1.97,Government Policies,65286,5.76
Baroda BNP Paribas Banking & PSU Bond Fund,500,5000,0.39,40,2,Prashant Pimple,-,-,-,-,-,2,Baroda BNP Paribas Mutual Fund,2,Debt,Banking and PSU Mutual Funds,2.5,,,Negative,Low,4.32,5.98,Interest Rates,75842,11.39
Baroda BNP Paribas Banking&Fin Serv Fund,500,5000,1.63,69,10,Miten Vora,1.77,-2.87,22.87,0.89,0.82,6,Baroda BNP Paribas Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,6.6,19.2,9.1,Negative,Low,8.4,13.84,Government Policies,15908,17.49
Baroda BNP Paribas Conservative Hybrid Fund,300,1000,0.78,501,10,Pratish Krishnan,2.74,0.64,3.7,0.58,1.29,4,Baroda BNP Paribas Mutual Fund,4,Hybrid,Conservative Hybrid Mutual Funds,3.7,9.2,7.7,Positive,Low,3.92,7.08,Inflation,93617,17.08
Baroda BNP Paribas Corporate Bond Fund,300,5000,0.32,17,10,Mayank Prakash,0.63,0.69,2.22,0.9,0.43,2,Baroda BNP Paribas Mutual Fund,2,Debt,Corporate Bond Mutual Funds,2.8,5.6,4.4,Negative,Medium,1.79,0.2,Government Policies,51626,8.36
Baroda BNP Paribas Credit Risk Fund,500,5000,0.78,179,8,Prashant Pimple,1.9,1.72,5.8,-3.29,1.06,4,Baroda BNP Paribas Mutual Fund,5,Debt,Credit Risk Funds,5.7,10.9,7.6,Positive,Medium,7.54,4.24,Inflation,38228,8.39
Baroda BNP Paribas Dynamic Bond Fund,300,1000,0.71,115,10,Mayank Prakash,0.56,0.91,2.65,1.36,0.49,3,Baroda BNP Paribas Mutual Fund,2,Debt,Dynamic Bond,5.2,5.7,6.6,Neutral,Medium,7.89,0.67,Market Trends,24386,17.26
Baroda BNP Paribas ELSS Fund,500,500,1.12,651,10,Sanjay Chawla,2.92,-0.94,14.42,0.83,1.29,6,Baroda BNP Paribas Mutual Fund,3,Equity,ELSS Mutual Funds,-2.4,20.4,10.5,Negative,Low,1.74,0.54,Interest Rates,47754,18.96
Baroda BNP Paribas Equity Savings Fund,500,5000,1.45,250,4,Pratish Krishnan,2.42,0.25,4.91,0.73,1.12,4,Baroda BNP Paribas Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,3.7,9.8,,Neutral,Medium,7.71,4.14,Government Policies,29302,6.43
Baroda BNP Paribas Focused Fund,300,5000,0.67,299,5,Sanjay Chawla,2.96,-1.21,14.73,0.85,1.27,6,Baroda BNP Paribas Mutual Fund,3,Equity,Focused Funds,0.5,23.1,9.9,Positive,Medium,9.47,4.13,Inflation,61815,11.75
Baroda BNP Paribas Gilt Fund,500,5000,0.14,138,10,Mayank Prakash,0.34,0.07,2.89,0.66,0.28,3,Baroda BNP Paribas Mutual Fund,2,Debt,Gilt Mutual Funds,3.7,4.9,6.8,Negative,High,1.66,11.81,Global Events,85748,10.06
Baroda BNP Paribas India Consumption Fund,300,5000,0.81,880,5,Shiv Chanani,3.08,2.41,13.62,0.71,1.38,6,Baroda BNP Paribas Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,5.2,23.3,,Positive,Medium,7.71,14.62,Interest Rates,64344,18.06
Baroda BNP Paribas Large Cap Fund,300,5000,0.94,1347,10,Jitendra Sriram,2.71,-0.18,14.57,0.86,1.32,6,Baroda BNP Paribas Mutual Fund,4,Equity,Large Cap Mutual Funds,3,23.5,12.8,Neutral,Medium,7.09,5.57,Market Trends,36618,6.25
Baroda BNP Paribas Liquid Fund,500,5000,0.19,6686,10,Vikram Pamnani,4.11,1.32,0.38,0.72,0.93,2,Baroda BNP Paribas Mutual Fund,5,Debt,Liquid Mutual Funds,5.7,4.4,5.4,Positive,Low,4.74,6.43,Inflation,77234,8.17
Baroda BNP Paribas Low Duration Fund,300,5000,0.39,175,10,Mayank Prakash,2.55,3.17,0.96,1.28,1.51,3,Baroda BNP Paribas Mutual Fund,3,Debt,Low Duration Funds,5,6,6.5,Negative,Low,0.58,12.67,Market Trends,62114,16.29
Baroda BNP Paribas Medium Duration Fund,300,5000,0.69,37,9,Mayank Prakash,0.42,0.42,2.34,1.16,0.32,3,Baroda BNP Paribas Mutual Fund,2,Debt,Medium Duration Funds,3.9,5,3.5,Negative,Low,0.75,4.02,Market Trends,71130,5.77
Baroda BNP Paribas Mid Cap Fund,300,5000,0.59,1192,10,Shiv Chanani,3.35,1.31,15.92,0.86,1.67,6,Baroda BNP Paribas Mutual Fund,3,Equity,Mid Cap Mutual Funds,2.4,30.6,13.6,Neutral,Low,8.52,2.35,Government Policies,26525,12.39
Baroda BNP Paribas Money Market Fund,500,5000,0.2,111,4,Vikram Pamnani,0.91,1.72,0.46,1.15,0.38,2,Baroda BNP Paribas Mutual Fund,2,Debt,Money Market Funds,5,4.1,,Positive,Low,9.9,12.8,Government Policies,80818,11.63
Baroda BNP Paribas Multi Cap Fund,500,5000,1.1,1628,10,Sanjay Chawla,3.05,2.11,16.27,0.9,1.44,6,Baroda BNP Paribas Mutual Fund,2,Equity,Multi Cap Funds,-1.7,28.8,12.3,Negative,Low,6.76,0.7,Inflation,15334,10.02
Baroda BNP Paribas Overnight Fund,500,5000,0.08,423,4,Vikram Pamnani,0.32,0.62,0.34,0.45,0.05,1,Baroda BNP Paribas Mutual Fund,3,Debt,Overnight Mutual Funds,5.4,3.9,,Neutral,Medium,4.46,9.3,Global Events,95715,10.92
Baroda BNP Paribas Short Duration Fund,500,5000,0.37,235,10,Prashant Pimple,1.23,3.6,1.75,1.55,0.88,3,Baroda BNP Paribas Mutual Fund,3,Debt,Short Duration Funds,4.2,5.7,6.7,Negative,Low,6.48,8.43,Inflation,63767,12.95
Baroda BNP Paribas Ultra Short Duration Fund,500,5000,0.22,560,5,Vikram Pamnani,3.14,2.59,0.53,1.24,1.77,2,Baroda BNP Paribas Mutual Fund,3,Debt,Ultra Short Duration Funds,5.7,5.1,,Negative,Low,5.94,5.19,Global Events,7644,7.42
BHARAT Bond FOF – April 2025 – Direct Growth,500,1000,0.06,3912,3,Dhawal Dalal,-,-,-,-,-,2,Edelweiss Mutual Fund,2,Other,FoFs Domestic,2.6,,,Positive,High,3.84,4.73,Market Trends,33933,13.58
Canara Robeco Bluechip Equity Fund,1000,5000,0.48,8672,10,Shridatta Bhandwaldar,3.07,0.16,14.97,0.89,1.35,6,Canara Robeco Mutual Fund,5,Equity,Large Cap Mutual Funds,1.7,24.3,14.4,Negative,Medium,0.66,11.58,Interest Rates,44469,17.08
Canara Robeco Conservative Hybrid Fund,1000,5000,0.57,1069,10,Avnish Jain,3.41,2.59,3.98,0.6,1.74,4,Canara Robeco Mutual Fund,5,Hybrid,Conservative Hybrid Mutual Funds,3.8,11.4,9.4,Positive,Medium,8.22,1.3,Inflation,34687,16.4
Canara Robeco Consumer Trends Fund,1000,5000,1,935,10,Shridatta Bhandwaldar,3.47,4.63,14.66,0.74,1.48,6,Canara Robeco Mutual Fund,4,Equity,Sectoral / Thematic Mutual Funds,7.1,26.7,15.1,Negative,Medium,3.72,3.55,Inflation,53656,7.31
Canara Robeco Corporate Bond Fund,1000,5000,0.39,191,9,Avnish Jain,1.35,1.33,1.81,0.77,0.85,2,Canara Robeco Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4,6,6.7,Neutral,Low,8.19,10.99,Global Events,18375,7.24
Canara Robeco Dynamic Bond Fund,1000,5000,0.66,116,10,Kunal Jain,0.64,0.74,2.17,1.02,0.47,3,Canara Robeco Mutual Fund,3,Debt,Dynamic Bond,4.7,5.3,6.6,Negative,Low,2.53,8.22,Market Trends,66206,9.02
Canara Robeco Emerging Equities – Direct Growth,1000,5000,0.6,15261,10,Shridatta Bhandwaldar,3.36,2.48,15.69,0.89,1.47,6,Canara Robeco Mutual Fund,3,Equity,Large & Mid Cap Funds,-0.2,27,12.6,Positive,Low,0.01,1.92,Market Trends,97462,10.42
Canara Robeco Equity Hybrid Fund,1000,5000,0.63,8235,10,Shridatta Bhandwaldar,3.25,1.49,11.27,0.78,1.4,6,Canara Robeco Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,1.8,20.1,12.2,Positive,High,1.59,13.23,Global Events,37607,11.13
Canara Robeco Equity Tax Saver Fund,500,500,0.64,4685,10,Vishal Mishra,3.08,2.7,15.37,0.87,1.51,6,Canara Robeco Mutual Fund,5,Equity,ELSS Mutual Funds,1.2,27.7,15.5,Neutral,Low,4.69,5.9,Market Trends,84178,15.2
Canara Robeco Flexi Cap Fund,1000,5000,0.55,8630,10,Shridatta Bhandwaldar,2.84,0.32,14.9,0.87,1.39,6,Canara Robeco Mutual Fund,4,Equity,Flexi Cap Funds,-0.9,24.8,13.8,Negative,High,9.44,12.42,Government Policies,24993,5.85
Canara Robeco Gilt Fund,1000,5000,0.54,80,10,Kunal Jain,0.55,0.47,2.52,0.55,0.43,3,Canara Robeco Mutual Fund,3,Debt,Gilt Mutual Funds,4.3,5.1,7,Negative,Medium,1.02,11.82,Interest Rates,45386,5.52
Canara Robeco Income Fund,1000,5000,0.75,125,10,Avnish Jain,0.69,0.87,2.74,1.32,0.45,3,Canara Robeco Mutual Fund,3,Debt,Medium to Long Duration Funds,3.9,5.8,7,Neutral,Low,8.54,9.37,Inflation,47287,10.88
Canara Robeco Infrastructure – Direct Growth,1000,5000,1.32,247,10,Shridatta Bhandwaldar,3.99,10.9,16.53,0.59,1.8,6,Canara Robeco Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,13.7,34.9,12.2,Negative,High,5.27,7.42,Interest Rates,87724,15.46
Canara Robeco Liquid Fund,1000,5000,0.11,2548,10,Kunal Jain,3.04,1.07,0.39,0.66,0.47,2,Canara Robeco Mutual Fund,2,Debt,Liquid Mutual Funds,5.6,4.1,5.1,Negative,High,8.26,14.69,Inflation,99132,7.9
Canara Robeco Overnight Fund,0,5000,0.1,216,4,Suman Prasad,0.03,0.61,0.34,0.45,0,1,Canara Robeco Mutual Fund,2,Debt,Overnight Mutual Funds,5.3,3.9,,Positive,Low,2.98,2.17,Government Policies,94308,14.62
Canara Robeco Savings Fund,1000,5000,0.31,1003,10,Kunal Jain,2.24,2.64,0.77,1.33,1.12,2,Canara Robeco Mutual Fund,2,Debt,Low Duration Funds,5,5.2,5.9,Negative,Medium,8.4,10.88,Market Trends,97393,8.9
Canara Robeco Short Duration Fund,1000,5000,0.47,520,10,Suman Prasad,1.68,3.98,1.59,1.95,0.87,2,Canara Robeco Mutual Fund,3,Debt,Short Duration Funds,4.1,5.9,6.5,Negative,Medium,7.73,2.87,Global Events,77312,18.29
Canara Robeco Small Cap Fund,1000,5000,0.47,4831,4,Shridatta Bhandwaldar,4.62,12.23,17.75,0.79,2.17,6,Canara Robeco Mutual Fund,5,Equity,Small Cap Mutual Funds,-0.6,51.8,,Neutral,Medium,2.3,5.07,Government Policies,99371,18.44
Canara Robeco Ultra Short Term Fund,500,500,0.4,565,10,Suman Prasad,2.11,1.82,0.51,1.04,0.84,2,Canara Robeco Mutual Fund,2,Debt,Ultra Short Duration Funds,5.2,4.5,5.3,Neutral,High,1.31,4.63,Interest Rates,76324,9.46
DSP Arbitrage Fund,500,500,0.35,1238,5,Kedar Karnik,1.08,1.45,0.72,0.64,0.82,1,DSP Mutual Fund,3,Hybrid,Arbitrage Mutual Funds,5.6,4.6,5.4,Positive,High,8.68,14.21,Global Events,72196,8.45
DSP Banking & Psu Debt Fund,500,500,0.33,2463,10,Vikram Chopra,1.59,4.78,1.87,2.4,0.84,2,DSP Mutual Fund,3,Debt,Banking and PSU Mutual Funds,4,6.4,6.9,Negative,High,9.63,14.51,Market Trends,71014,11.17
DSP Bond Fund,500,500,0.39,333,10,Vivek Ramakrishnan,0.98,1.17,2.36,1.02,0.62,3,DSP Mutual Fund,3,Debt,Medium Duration Funds,3.8,6.1,4.9,Negative,High,0.31,2.75,Government Policies,9210,8.61
DSP Corporate Bond Fund,500,500,0.25,2065,5,Vivek Ramakrishnan,0.59,0.76,2.16,0.73,0.45,3,DSP Mutual Fund,2,Debt,Corporate Bond Mutual Funds,2.6,5.6,,Negative,Medium,7.31,0.33,Global Events,11922,15.09
DSP Credit Risk Fund,500,500,0.38,210,10,Laukik Bagwe,1.23,2.84,4.32,0.26,0.58,4,DSP Mutual Fund,3,Debt,Credit Risk Funds,10.8,6.6,4.5,Positive,Low,9.1,10.8,Government Policies,37289,17.39
DSP Dynamic Asset Allocation Fund,500,500,0.71,3770,9,Atul Bhole,2.7,-0.92,8.62,0.53,1.03,5,DSP Mutual Fund,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,1.7,12.2,8.3,Positive,High,8.57,6.27,Government Policies,34340,15.1
DSP Equity & Bond Fund,500,500,0.78,7358,10,Atul Bhole,2.7,0.51,12.7,0.83,1.25,6,DSP Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,0.6,18.7,10.7,Neutral,High,9.65,1.33,Market Trends,40850,17.37
DSP Equity Opportunities Fund,500,500,0.91,7110,10,Rohit Singhania,2.87,1.89,16.6,0.93,1.4,6,DSP Mutual Fund,3,Equity,Large & Mid Cap Funds,3.2,31.6,11.7,Positive,Medium,7.6,10.26,Inflation,57984,10.95
DSP Equity Savings Fund,500,500,0.4,535,7,Kedar Karnik,3.55,4.83,6.37,0.88,1.75,4,DSP Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,4,14.6,7.8,Negative,Low,4.42,8.18,Global Events,85178,7.34
DSP Flexi Cap Fund,500,500,0.76,7725,10,Atul Bhole,2.56,-1.47,16.67,0.93,1.23,6,DSP Mutual Fund,3,Equity,Flexi Cap Funds,-0.1,22.8,12,Negative,Low,3.12,14.71,Market Trends,12094,16.07
DSP Floater Fund,500,500,0.24,983,2,Kedar Karnik,-,-,-,-,-,2,DSP Mutual Fund,1,Debt,Floater Mutual Funds,4.4,,,Positive,Medium,3.21,3.41,Government Policies,88959,10.41
DSP Focus Fund,500,500,1.08,1784,10,Vinit Sambre,2.4,-2.77,16.44,0.9,1.11,6,DSP Mutual Fund,2,Equity,Focused Funds,-1.7,20.4,8.9,Negative,Medium,7.24,6.06,Market Trends,34418,15.07
DSP Global Allocation Fund,500,500,1.43,70,9,Jay Kothari,1.15,-,10.88,-,0.67,6,DSP Mutual Fund,0,Other,FoFs Overseas,0.6,12.6,7.9,Negative,Low,7.46,8.14,Inflation,6741,9.06
DSP G-Sec Fund,500,500,0.54,430,10,Vikram Chopra,0.93,1.15,2.85,0.62,0.64,3,DSP Mutual Fund,4,Debt,Gilt Mutual Funds,4.4,5.9,8.6,Positive,High,2,11.88,Global Events,73374,6.22
DSP Healthcare Fund,500,500,1.04,1197,4,Vinit Sambre,2.42,6.84,17.83,0.78,1.19,6,DSP Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-3.6,26.9,,Positive,Low,8.68,8.23,Inflation,69798,19.89
DSP India T.I.G.E.R. Fund,500,500,1.34,1797,10,Rohit Singhania,3.58,10.78,17.58,0.64,1.78,6,DSP Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,15.8,36.4,11.9,Negative,Medium,7.15,9.19,Interest Rates,71532,7.34
DSP Liquidity Fund,500,500,0.15,13582,10,Kedar Karnik,4.19,1.29,0.37,0.73,0.83,3,DSP Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.3,5.3,Negative,High,5.63,3.39,Global Events,23164,19.83
DSP Low Duration Fund,500,500,0.3,3340,8,Karan Mundhara,3.06,2.97,0.83,1.35,1.4,2,DSP Mutual Fund,2,Debt,Low Duration Funds,5.1,5.5,6.3,Negative,High,4.72,12.7,Inflation,36595,19.66
DSP Midcap Fund,500,500,0.77,13213,10,Vinit Sambre,2.26,-6.18,15.81,0.85,1.2,6,DSP Mutual Fund,2,Equity,Mid Cap Mutual Funds,-3.9,21.1,9.5,Neutral,Medium,5.43,6.43,Government Policies,31257,16.91
DSP Natural Resources & New Energy – Direct Growth,500,500,1.21,673,10,Rohit Singhania,2.31,21.48,23.46,0.43,1.39,6,DSP Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-0.7,44.3,12,Neutral,Medium,1.59,2.11,Global Events,15211,14.89
DSP Nifty 50 Equal Weight Index Fund,500,500,0.4,498,5,Anil Ghelani,3.22,3.52,17.4,1.01,1.51,6,DSP Mutual Fund,3,Other,Index Funds,2.2,30.9,10.7,Neutral,Medium,2.04,9.96,Global Events,96989,13.67
DSP Nifty 50 Index Fund,500,500,0.24,271,4,Anil Ghelani,3.43,-0.76,16.67,0.99,1.3,6,DSP Mutual Fund,3,Other,Index Funds,0.9,25.8,,Positive,Low,0.91,3.24,Market Trends,6232,17.99
DSP Nifty Next 50 Index Fund,500,500,0.32,227,4,Anil Ghelani,1.68,-4.59,17.93,0.97,0.97,6,DSP Mutual Fund,2,Other,Index Funds,-6.3,21.8,,Neutral,Low,1.54,1.46,Government Policies,68753,9.34
DSP Overnight Fund,500,500,0.06,2754,4,Kedar Karnik,0.73,0.67,0.34,0.47,0.12,1,DSP Mutual Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,,Positive,High,4.54,12.93,Interest Rates,53691,12.02
DSP Regular Savings Fund,500,500,0.51,199,10,Vikram Chopra,2.68,2.26,4.28,0.61,1.55,3,DSP Mutual Fund,2,Hybrid,Conservative Hybrid Mutual Funds,3,10.8,6,Positive,Medium,5.3,6.9,Inflation,90765,14.29
DSP Savings Fund,500,500,0.25,3903,10,Kedar Karnik,1.82,3.15,0.81,1.65,1.15,3,DSP Mutual Fund,2,Debt,Money Market Funds,5,5.3,5.9,Neutral,High,0.18,11.24,Market Trends,80768,11.17
DSP Short Term Fund,500,500,0.3,2821,10,Laukik Bagwe,1.75,4.96,1.67,2.51,0.96,2,DSP Mutual Fund,2,Debt,Short Duration Funds,4.1,6.1,6.7,Neutral,High,7.97,4.36,Inflation,26613,11.41
DSP Small Cap Fund,500,500,0.9,8953,10,Vinit Sambre,3.38,4.28,18.67,0.86,1.78,6,DSP Mutual Fund,2,Equity,Small Cap Mutual Funds,0.7,38.9,12.5,Neutral,High,2.94,11.8,Interest Rates,15026,9.95
DSP Strategic Bond Fund,500,500,0.47,481,10,Vikram Chopra,0.48,0.84,3,1.36,0.41,2,DSP Mutual Fund,3,Debt,Dynamic Bond,3,5.4,7.3,Negative,High,9.12,1.68,Interest Rates,54535,13.46
DSP Tax Saver Fund,500,500,0.81,10129,10,Rohit Singhania,3.19,2.57,16.3,0.94,1.51,6,DSP Mutual Fund,4,Equity,ELSS Mutual Funds,1.8,28.8,13.3,Neutral,Medium,9.68,5.34,Global Events,95090,17.76
DSP Top 100 Equity Fund,500,500,1.27,2605,10,Abhishek Singh,2.98,-1.79,15.88,0.91,1.18,6,DSP Mutual Fund,1,Equity,Large Cap Mutual Funds,3.6,21.8,8.9,Negative,High,1.85,14.67,Interest Rates,31908,8.02
DSP Ultra Short Fund,500,500,0.3,2736,10,Kedar Karnik,3.54,2.39,0.52,1.19,1.54,2,DSP Mutual Fund,3,Debt,Ultra Short Duration Funds,5.5,4.9,5.5,Positive,Medium,4.62,11.91,Inflation,53113,19.02
DSP US Flexible Equity Fund,500,500,1.52,770,10,Jay Kothari,1.95,-,16.4,-,1.1,6,DSP Mutual Fund,0,Other,FoFs Overseas,2.2,23.8,13.6,Negative,Medium,0.01,7.46,Government Policies,20610,15.34
DSP World Gold Fund,500,500,1.81,777,10,Jay Kothari,1.11,-,36.51,-,0.4,6,DSP Mutual Fund,0,Other,FoFs Overseas,-9,14.8,10.2,Neutral,Low,5.98,5.1,Government Policies,47646,17.35
DSP World Mining Fund,500,500,1.5,188,10,Jay Kothari,1.68,-,28.33,-,1.08,6,DSP Mutual Fund,0,Other,FoFs Overseas,-5.4,37.1,15,Positive,Medium,6.07,13.08,Global Events,64185,13.34
Edelweiss Aggressive Hybrid Fund,500,5000,0.36,469,10,Bharat Lahoti,3.83,5.57,11.66,0.79,1.72,6,Edelweiss Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,6.5,24.6,13,Positive,Low,2.48,8.17,Inflation,73567,16.69
Edelweiss Arbitrage Fund,500,5000,0.37,5393,9,Bhavesh Jain,1.61,1.78,0.72,0.63,1.31,1,Edelweiss Mutual Fund,5,Hybrid,Arbitrage Mutual Funds,5.8,5,5.7,Positive,Medium,5.58,11.38,Inflation,48574,5.24
Edelweiss Balanced Advantage Fund,500,5000,0.51,8780,10,Bhavesh Jain,3.31,2.1,9.71,0.67,1.48,6,Edelweiss Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,2.9,18.5,12,Negative,Medium,2.26,11.31,Interest Rates,92051,17.28
Edelweiss Banking & Psu Debt Fund,500,5000,0.26,355,10,Dhawal Dalal,0.78,6.29,3.68,3.18,0.55,3,Edelweiss Mutual Fund,2,Debt,Banking and PSU Mutual Funds,3.5,6.9,7.9,Neutral,Medium,1.61,0.27,Inflation,37182,5.6
Edelweiss Equity Savings Fund,500,5000,0.7,258,8,Bharat Lahoti,3.22,2.41,5.29,0.79,1.53,4,Edelweiss Mutual Fund,5,Hybrid,Equity Savings Mutual Funds,4.4,12.1,9,Positive,Low,6.52,1.89,Market Trends,1570,18.35
Edelweiss Europe Dynamic Equity Offshore – Dir Growth,500,5000,1.5,83,9,Bhavesh Jain,1.64,-,19.12,-,0.93,6,Edelweiss Mutual Fund,0,Other,FoFs Overseas,9.2,25.2,7.6,Positive,Low,3.26,9.89,Interest Rates,98790,19.88
Edelweiss Flexi Cap Fund,500,5000,0.56,1056,8,Trideep Bhattacharya,3.41,1.91,16.02,0.92,1.46,6,Edelweiss Mutual Fund,3,Equity,Flexi Cap Funds,1.9,27.5,12.1,Positive,High,5.9,2.42,Market Trends,20288,9.41
Edelweiss Govt Securities Fund,500,5000,0.66,119,9,Dhawal Dalal,1.63,1.77,2.77,0.61,0.88,3,Edelweiss Mutual Fund,5,Debt,Gilt Mutual Funds,4.3,6.8,8.2,Negative,Low,4.33,3.83,Global Events,79824,8.15
Edelweiss Greater China Equity Off-Shore Fund,500,5000,1.44,1897,10,Bhavesh Jain,0.6,-,25.75,-,0.3,6,Edelweiss Mutual Fund,0,Other,FoFs Overseas,-4.1,9,6.1,Negative,Low,9.84,14.2,Government Policies,30877,16.48
Edelweiss Large & Mid Cap Fund,500,5000,0.6,1711,10,Abhishek Gupta,3.56,2.77,15.87,0.9,1.47,6,Edelweiss Mutual Fund,4,Equity,Large & Mid Cap Funds,1.2,27.8,13.2,Neutral,Low,1.5,8.4,Global Events,85425,8.8
Edelweiss Large Cap Fund,500,5000,0.93,399,10,Bharat Lahoti,3.25,0.95,15.71,0.93,1.4,6,Edelweiss Mutual Fund,4,Equity,Large Cap Mutual Funds,4.9,26,12.8,Negative,Low,4.65,11.26,Government Policies,1917,17.98
Edelweiss Liquid Fund,500,5000,0.15,1543,10,Rahul Dedhia,6.74,1.47,0.38,0.8,1.08,3,Edelweiss Mutual Fund,4,Debt,Liquid Mutual Funds,5.6,4.4,5.4,Positive,High,6.8,8.37,Global Events,76602,6.54
Edelweiss Long Term Equity Fund,500,500,0.69,209,10,Trideep Bhattacharya,3.18,0.61,15.73,0.9,1.39,6,Edelweiss Mutual Fund,3,Equity,ELSS Mutual Funds,0.9,25.6,10.2,Neutral,Low,3.96,8.29,Inflation,96040,6.89
Edelweiss Mid Cap Fund,500,5000,0.57,2530,10,Trideep Bhattacharya,3.85,2.21,17.63,0.96,1.73,6,Edelweiss Mutual Fund,4,Equity,Mid Cap Mutual Funds,4.9,35.5,14,Positive,Medium,9.75,1.41,Market Trends,65575,19.69
Edelweiss Money Market Fund,500,5000,0.26,346,10,Dhawal Dalal,2.05,2.56,0.6,1.45,1.03,2,Edelweiss Mutual Fund,1,Debt,Money Market Funds,4.9,4.7,7.3,Positive,Medium,7.22,5.15,Government Policies,73518,15.11
Edelweiss Overnight Fund,500,5000,0.1,480,4,Rahul Dedhia,0.08,0.63,0.33,0.47,0.01,1,Edelweiss Mutual Fund,2,Debt,Overnight Mutual Funds,5.3,3.9,,Negative,Low,6.57,4.24,Interest Rates,40104,17.7
Edelweiss Recently Listed IPO Fund,500,5000,0.61,859,5,Bhavesh Jain,1.63,0.04,17.77,0.83,1.09,6,Edelweiss Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-13.8,24.3,10.9,Neutral,Low,7.57,5.86,Market Trends,19062,9.86
Edelweiss Small Cap Fund,500,5000,0.6,1458,4,Sahil Shah,4.17,8.58,17.99,0.81,1.98,6,Edelweiss Mutual Fund,4,Equity,Small Cap Mutual Funds,3,42.5,,Negative,Medium,9.53,11.98,Interest Rates,17999,15.15
Edelweiss US Value Equity Offshore Fund,500,5000,1.43,90,10,Bhavesh Jain,2.17,-,16.38,-,1.03,6,Edelweiss Mutual Fund,0,Other,FoFs Overseas,2,23.8,11.5,Negative,Medium,9.08,5.58,Market Trends,62845,13.91
Franklin Build India Fund,500,5000,1.3,1184,10,Ajay Argal,3.18,8.05,19.06,0.71,1.6,6,Franklin Templeton Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,16,36.1,13.3,Neutral,High,7.24,6.78,Market Trends,10941,14.05
Franklin India Banking & PSU Debt Fund,500,5000,0.16,712,9,Umesh Sharma,1.06,3.72,1.74,1.87,0.7,2,Franklin Templeton Mutual Fund,2,Debt,Banking and PSU Mutual Funds,4.2,6.1,7.2,Positive,Medium,7.49,5.96,Global Events,62169,15.24
Franklin India Bluechip Fund,500,5000,1.01,6205,10,Anand Radhakrishnan,2.72,0.71,16.83,0.92,1.28,6,Franklin Templeton Mutual Fund,2,Equity,Large Cap Mutual Funds,-1,25.1,9.7,Positive,Medium,1.46,1.4,Government Policies,24470,13.63
Franklin India Corporate Debt Fund,500,10000,0.21,748,10,Santosh Kamath,1.65,1.68,1.8,0.56,1.02,2,Franklin Templeton Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.4,6.3,7,Neutral,Low,1.03,6.62,Government Policies,60821,11.44
